KEYWORD,MSV FEB 2020,MSV MAR 2020,MSV April 2020,MONTH TO MONTH TREND,CATEGORY,CONSUMER IMPACT
home office supplies near me,20,40,50,25%,Technology - Remote Work - Office,Health & Safety
how to cancel monthly app subscription,40,40,50,25%,Technology - Subscriptions - Cancel - Question,Financial Hardship
is video calling free,10,40,50,25%,Technology - Apps - Chat - Video,Health & Safety
best home computer,2400,2900,3600,24%,Technology - Remote Work,Entertainment
cancel facebook,2900,2900,3600,24%,0,0
family game apps,480,2900,3600,24%,Technology - Apps - Multiplayer Games,Entertainment
free sleep meditation,2400,2900,3600,24%,Technology - Apps - Mental Health,Health & Safety
fun game apps,1900,2900,3600,24%,Technology - Apps - Multiplayer Games,Entertainment
home office lighting,1600,2900,3600,24%,Technology - Remote Work - Office,Health & Safety
home office setup ideas,1000,2900,3600,24%,Technology - Remote Work - Office,Health & Safety
is instacart free,590,2900,3600,24%,Technology - Apps - Grocery,Health & Safety
video call online,1300,2900,3600,24%,Technology - Apps - Chat - Video,Health & Safety
facetime on samsung tablet,30,210,260,24%,Technology - Apps - Chat - Video,Health & Safety
how to cancel account,140,210,260,24%,Technology - Subscriptions - Cancel - Question,Financial Hardship
instacart delivery driver app,70,210,260,24%,Technology - Apps - Grocery - Delivery,Health & Safety
laptop home office setup,50,210,260,24%,Technology - Office - Office - Laptop,Health & Safety
best free sleep meditation apps,140,170,210,24%,Technology - Apps - Mental Health,Health & Safety
best headset work from home,10,170,210,24%,Technology - Remote Work - Headset,Communication
cooking recipes app,110,170,210,24%,Technology - Apps - Cooking - Recipe,Health & Safety
facetime for android tablet,20,170,210,24%,Technology - Apps - Chat - Video,Health & Safety
free cooking apps,110,170,210,24%,Technology - Apps - Cooking,Health & Safety
on demand delivery app,110,170,210,24%,Technology - Apps - Delivery,Health & Safety
video chat netflix,10,170,210,24%,Technology - Apps - Chat - Video,Health & Safety
what is the best laptop to buy for home use,140,170,210,24%,Technology - Remote Work - Laptop - Question,Health & Safety
affordable desks for home office,70,260,320,23%,Technology - Remote Work - Office,Health & Safety
app delivery,260,390,480,23%,Technology - Apps - Grocery - Delivery,Health & Safety
best desktop for home office,210,390,480,23%,Technology - Remote Work - Office,Health & Safety
best free workout apps for men,1600,1300,1600,23%,Technology - Apps - Free - Workout,Health & Safety
best healthy recipe app,260,260,320,23%,Technology - Apps - Cooking - Recipe,Health & Safety
best laptop for basic home use,390,390,480,23%,Technology - Remote Work - Laptop,Health & Safety
convenience store delivery app,320,260,320,23%,Technology - Apps - Grocery - Delivery,Health & Safety
does samsung have facetime,390,1300,1600,23%,Technology - Apps - Chat - Video,Health & Safety
face call app,90,260,320,23%,Technology - Apps - Chat - Video,Health & Safety
facetime app for android and iphone,70,390,480,23%,Technology - Apps - Chat - Video,Health & Safety
house party video chat,50,1300,1600,23%,Technology - Apps - Chat - Video,Communication
how to cancel my subscription,260,390,480,23%,Technology - Subscriptions - Cancel - Question,Financial Hardship
is there facetime for android,170,1300,1600,23%,Technology - Apps - Chat - Video,Health & Safety
just talk app,480,1300,1600,23%,Technology - Apps - Chat - Video,Health & Safety
office setup ideas,1300,1300,1600,23%,Technology - Remote Work - Office,Health & Safety
shopping cart app,170,390,480,23%,Technology - Apps - Grocery,Health & Safety
small home office decor,140,260,320,23%,Technology - Remote Work - Office,Health & Safety
video call with friends,30,260,320,23%,Technology - Apps - Chat - Video,Health & Safety
